InputListSize,Test1Results,Test2Results,Test3Results
0,80,200,140
100,6060,980,940
200,21120,1120,960
300,65200,1520,1300
400,94340,2200,1720
500,144720,3180,2260
600,226220,3840,2820
700,343620,6500,3560
800,493960,4940,4460
900,628680,5580,5080
1000,733080,6240,5620
1100,852820,7900,6260
1200,975220,8240,6880
1300,1497920,7940,7480
1400,1333680,8660,8040
1500,1802040,9200,8800
1600,2267600,9900,9060
1700,2171420,10460,9920
1800,2752800,11040,10040
1900,2662760,11700,10900
2000,2989600,12380,11460
2100,3562260,13180,12080
2200,3963460,13720,13220
2300,4061020,14240,14060
2400,6496780,14860,16340
2500,4885920,15620,14920
2600,4828820,16800,15600
2700,5557380,17240,16220
2800,5745540,21760,16600
2900,7642540,18280,17100
3000,6493600,19280,18000
3100,8714080,19720,18560
3200,8277700,24000,27520
3300,9135880,21580,20040
3400,8917840,24800,20620
3500,10620960,23640,20980
3600,10665700,24280,21080
3700,10337420,35960,26340
3800,12608760,27120,23560
3900,12401880,25380,29620
4000,13417320,25380,24320
4100,17379080,26220,24260
4200,16747760,26820,25080
4300,16436140,27240,25560
4400,15720200,27840,26440
4500,17299380,29300,26940
4600,17839460,29420,27660
4700,19403080,29600,29040
4800,18477720,30700,31440
4900,20969680,32560,31960
5000,21298600,32300,31140
5100,23340960,35680,32240
5200,21713280,41420,32280
5300,22569420,33900,33040
5400,23353480,35380,36460
5500,25926720,36540,34960
5600,28886920,38880,36300
5700,27683680,37560,39720
5800,31826520,52740,38040
5900,28764040,44520,37660
6000,32328420,41360,38340
6100,35671820,46040,44220
6200,33975920,44080,42760
6300,35237140,44480,43200
6400,39855640,44280,43580
6500,41354280,46560,43880
6600,36483700,43740,77920
6700,38250280,43060,51040
6800,39281120,46580,44960
6900,38382820,48340,43400
7000,40403000,47180,44980
7100,44537580,48660,45760
7200,45557220,53100,44340
7300,46568080,56140,45660
7400,48433440,50460,45620
7500,46764460,54600,60160
7600,51583620,49240,50720
7700,52443760,51100,47980
7800,54207320,53760,48320
7900,58683580,54920,48800
8000,58193540,52780,58280
8100,60790560,58400,51400
8200,61815700,60000,55400
8300,63905160,58380,57600
8400,64167220,74220,64220
8500,67781980,60380,76160
8600,69137700,61360,56400
8700,69800600,60600,59140
8800,69804760,66420,72360
8900,69552640,62300,60420
9000,73625620,69840,61360
9100,78208040,63960,56400
9200,74601100,68380,58040
9300,77500320,67580,56140
9400,80793160,65440,56140
9500,83551160,67500,55440
9600,83720440,73220,56400
9700,85802680,73760,66740
9800,90173200,71600,70600
9900,89497160,68400,71300
10000,89779280,69600,70740
10100,88388360,70120,66620
10200,94749240,72900,73660
10300,99109300,101300,68040
10400,97597620,79760,65700
10500,101002680,73360,73800
10600,98109060,75260,64160
10700,98757760,84420,64580
10800,101098600,88640,69280
10900,105316180,85700,72520
11000,106177180,104900,87640
11100,118590120,81480,72120
11200,106188340,78300,73340
11300,118049020,77820,67560
11400,123273560,80760,71040
11500,121903440,83940,76400
11600,128310000,89740,68820
11700,124755260,84620,74420
11800,135781640,91860,74800
11900,136358060,85880,75580
12000,130817860,98420,76380
12100,139733300,89700,101460
12200,138647280,93120,84380
12300,133312460,95500,116420
12400,141205960,103460,91180
12500,135028520,94780,87340
12600,157781540,100420,84620
12700,146575900,91360,84060
12800,153125400,93560,82980
12900,158182080,100740,86100
13000,158605980,95700,104120
13100,166199160,93740,96660
13200,185821200,116320,98080
13300,169153640,118520,107040
13400,172410600,106500,102480
13500,174018280,101560,101260
13600,163957300,105520,85540
13700,158253980,109260,96500
13800,172389940,105780,97600
13900,189378220,107240,102420
14000,190696740,109940,102540
14100,189427360,107560,101520
14200,189684300,110100,110400
14300,185312340,119960,103860
14400,201873400,120700,102980
14500,185252540,132180,112440
14600,185027300,119100,143660
14700,202447640,113980,110020
14800,206391640,116940,111040
14900,215882920,131260,119980
15000,222334720,120300,108920
15100,223986780,113320,111520
15200,229195540,119740,114960
15300,233246220,119820,116020
15400,226363520,124260,111660
15500,260336560,118980,111800
15600,233953140,118800,117200
15700,241451940,121740,121840
15800,238576720,133260,124180
15900,245070420,121800,120100
16000,258623260,124620,119240
16100,246156620,132340,136180
16200,248544420,123140,120160
16300,250917100,141940,125600
16400,259526400,140840,120640
16500,262686800,144160,144040
16600,271567140,130300,136320
16700,275648520,129940,134740
16800,289693320,136600,134840
16900,282502260,128760,135720
17000,283262420,215460,130620
17100,286875160,132000,132620
17200,289073840,132300,128100
17300,297113500,152380,127560
17400,342035320,148560,133880
17500,330163220,140140,130400
17600,297114360,143820,133920
17700,299359420,137500,129720
17800,302397000,151380,153320
17900,313425900,158940,136240
18000,335318640,148080,152540
18100,306039520,149980,141320
18200,313265840,142040,179880
18300,326933680,144960,146040
18400,329362600,139800,148800
18500,327556300,163600,156560
18600,338092080,152500,148580
18700,365661920,159200,160440
18800,400569340,165160,159240
18900,355981620,145980,179880
19000,366648620,148500,153480
19100,364324920,153160,165800
19200,365631400,162000,151040
19300,362475260,157580,160660
19400,374340600,177060,153780
19500,376884700,158340,163100
19600,385234500,157960,155640
19700,386568240,154100,156360
19800,395244440,162480,145980
19900,386670240,168620,144440
